D_box,flux_sensitivity,avg_ipr_mid,avg_xi_mid,rho_zero,avg_horizon_weight_mid,avg_xbar_mid,charge_stiffness,half_bandwidth,scenario,x0,L,r_h,Nx,Nphi,ax,Nalpha,nu
1.9004826087165587,0.013485224132073157,0.13007036770809116,0.8870485942627417,0.18965233249244345,0.0,3.574559756624661,0.0009905007364132432,6.753315896867045,annulus,2.0,12.0,1.0,48,48,0.1,141,0.0
1.8981632116684963,0.01587437589658402,0.1532225254496052,0.8070949353464616,0.2512786055900734,0.0,3.6496199853763853,0.0016025848671592355,5.115680222314091,annulus,2.0,14.0,1.0,48,48,0.1,141,0.0
1.9107831516622757,0.01829195793183368,0.17333115760044904,0.7409918510860356,0.31878881719822916,0.0,3.7340550791474962,0.0023605981361794577,4.034645176382069,annulus,2.0,16.0,1.0,48,48,0.1,141,0.0
1.9325439016362005,0.02070097108305869,0.19120292428434824,0.6837761972957667,0.3868280856621745,0.0,3.8199747873435537,0.003260680713080743,3.2810648576677712,annulus,2.0,18.0,1.0,48,48,0.1,141,0.0
1.9280555102010912,0.023042306527717844,0.20710648952659705,0.6327185226786193,0.4604107836450199,0.0,3.9014786053762087,0.0042988954906637315,2.7331521743999345,annulus,2.0,20.0,1.0,48,48,0.1,141,0.0
1.861290579282433,0.00844127507229495,0.07519980577112871,1.1070698444048337,0.08043412653372664,0.0,3.4700968774417653,0.00013516162137393426,14.404814744865124,annulus,2.0,8.0,1.5,48,48,0.1,141,0.0
1.8821509570357358,0.01061566631335429,0.09031673880650884,1.0363812445353644,0.1297697590834527,0.0,3.484758037709532,0.00035419322909471216,9.516688156899711,annulus,2.0,10.0,1.5,48,48,0.1,141,0.0
1.9000057504041203,0.012869172658718094,0.1081930590985967,0.9590350954106196,0.18777790580585046,0.0,3.5260595927489415,0.0006964652374192528,6.815482784442082,annulus,2.0,12.0,1.5,48,48,0.1,141,0.0
1.8858531461933623,0.015195607168847,0.1293999696556468,0.8762685954390214,0.252598884861975,0.0,3.5894910392999373,0.0011618016800479605,5.15913397667528,annulus,2.0,14.0,1.5,48,48,0.1,141,0.0
1.9090383105132576,0.017557152885542365,0.15094669987521372,0.7996917518479171,0.32134038587141717,0.0,3.6592215322442705,0.0017472505149107888,4.0662149650161,annulus,2.0,16.0,1.5,48,48,0.1,141,0.0
1.9286809407424894,0.019919165530426487,0.16939120563185833,0.7360207369117081,0.39412535358164513,0.0,3.738765711303412,0.002449494717221378,3.3046661597382183,annulus,2.0,18.0,1.5,48,48,0.1,141,0.0
1.9317692899455812,0.022226654924430593,0.18679327345164118,0.67860136232727,0.4709989856896684,0.0,3.8194473251931185,0.003265269834481995,2.7511816837747687,annulus,2.0,20.0,1.5,48,48,0.1,141,0.0
1.8686827358277749,0.007881667510706738,0.06548319984480758,1.151804278361255,0.07380600220591287,0.0,3.4989561849643898,7.30742220123236e-05,14.617394596592698,annulus,2.0,8.0,2.0,48,48,0.1,141,0.0
1.8752639886479794,0.009921290847693246,0.07536956958947502,1.100105673216098,0.12140606684570877,0.0,3.494428599545226,0.00021290878530467636,9.646946186195606,annulus,2.0,10.0,2.0,48,48,0.1,141,0.0
1.8913476881506606,0.01207178256450987,0.08789051213119475,1.0378054273666983,0.18046686742703588,0.0,3.505323721239709,0.0004471851807804165,6.901917197571555,annulus,2.0,12.0,2.0,48,48,0.1,141,0.0
1.8921388720292318,0.014309111461256852,0.10349279146401572,0.9668653139536867,0.24745137185664554,0.0,3.5360391859512523,0.0007790144476349576,5.219681772610631,annulus,2.0,14.0,2.0,48,48,0.1,141,0.0
1.910332621769475,0.01659503746224291,0.12151510802925401,0.8900658505084161,0.3226261504293739,0.0,3.5864446363589755,0.0012069990431525796,4.110309653603086,annulus,2.0,16.0,2.0,48,48,0.1,141,0.0
1.920431050566888,0.018895359344714098,0.14044037374913537,0.8182886804657146,0.3998137803178918,0.0,3.648562985121709,0.0017285527364558904,3.3377191601304683,annulus,2.0,18.0,2.0,48,48,0.1,141,0.0
1.9342453369835073,0.02115638878655834,0.15866358396329974,0.752019441368606,0.4812485143944146,0.0,3.7182205599631195,0.0023409741758961054,2.776507092180814,annulus,2.0,20.0,2.0,48,48,0.1,141,0.0
1.857729891793596,0.006694343157687684,0.053130316580808384,1.2188823132777464,0.057295620297722796,0.0,3.587613372135029,1.506940337914417e-05,15.210641713270642,annulus,2.0,8.0,3.0,48,48,0.1,141,0.0
1.873765011693902,0.008376324524351334,0.057492584587511074,1.1909077433408395,0.09420577265416526,0.0,3.573298044276259,5.8601675936046945e-05,10.011742189641062,annulus,2.0,10.0,3.0,48,48,0.1,141,0.0
1.8812992782055962,0.010217472381422461,0.06275925722961317,1.159740077088345,0.1473767751524969,0.0,3.5591609276760234,0.0001481306243431522,7.144914677064757,annulus,2.0,12.0,3.0,48,48,0.1,141,0.0
1.8981209201544846,0.012158094846319856,0.06908194381434206,1.12341602174125,0.21041350074087667,0.0,3.5497699840699863,0.000292549702508234,5.390620161089828,annulus,2.0,14.0,3.0,48,48,0.1,141,0.0
1.8937786262427543,0.014195316975211276,0.07656496503152596,1.081882361202471,0.2866444633370454,0.0,3.5475612627475264,0.0004951816310414145,4.235373951299032,annulus,2.0,16.0,3.0,48,48,0.1,141,0.0
1.907713322242298,0.01628795126360101,0.08567960206694622,1.0323045564091642,0.37283544604683666,0.0,3.554714980042229,0.0007562701211554968,3.4319452213844146,annulus,2.0,18.0,3.0,48,48,0.1,141,0.0
1.9204815914211977,0.018403048203796873,0.0966997630070126,0.9758936444889108,0.46768807151529124,0.0,3.5721606740147362,0.0010747124787663705,2.8491127763264115,annulus,2.0,20.0,3.0,48,48,0.1,141,0.0
1.8313720527855946,0.005663077144656911,0.046932917046620955,1.2621044257943919,0.051302173469048105,0.0,3.6603897500269027,2.030603988567755e-06,16.008420110394816,annulus,2.0,8.0,4.0,48,48,0.1,141,0.0
1.8539402111300562,0.0069545285488459944,0.049090605792407205,1.2440362282563897,0.08003203131521247,0.0,3.6517934085177526,1.1533768002220926e-05,10.50480696757376,annulus,2.0,10.0,4.0,48,48,0.1,141,0.0
1.869993121568881,0.008424933260748642,0.05150638112908101,1.2266094614403615,0.11605943934747535,0.0,3.6429414614504956,3.744973643881016e-05,7.4751614055943785,annulus,2.0,12.0,4.0,48,48,0.1,141,0.0
1.8867078490565252,0.010010020199987837,0.05447067310219566,1.2071869964451192,0.1619143584463942,0.0,3.632130520612415,8.810226131021887e-05,5.624318974314139,annulus,2.0,14.0,4.0,48,48,0.1,141,0.0
1.9012427228298419,0.011691150818090752,0.057721746978022716,1.1860671008783301,0.22097656319226067,0.0,3.623619763645894,0.00016933660909955724,4.40746297443857,annulus,2.0,16.0,4.0,48,48,0.1,141,0.0
1.8969295574551366,0.01345591089987969,0.06166510829711425,1.1623586778223949,0.29633642457707904,0.0,3.6126983002775894,0.00028440818699696657,3.562516188144384,annulus,2.0,18.0,4.0,48,48,0.1,141,0.0
